File.accession,File.format,File.type,File.format.type,Output.type,File.assembly,Experiment.accession,Biosample.term.name,Experiment.target,Size,md5sum,peaks_count_raw,peaks_count_run
ENCFF115ENN,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR253HUM,HepG2,ZNF576-human,106386,fd3ea763f75abe87f2ddd99fd581b375,5504,5504
ENCFF442ZRY,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR264LQX,HepG2,ZNF383-human,113616,c41f80418087ace82afd7953ff1bbb62,5811,5811
ENCFF413OMR,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR233FJO,HepG2,ZNF280D-human,368144,74185d49903d4832324d76bcb854e2d6,19986,19986
ENCFF003AMQ,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR725QZQ,HepG2,TIGD3-human,106767,ab41c8ac5b7b453e715fea79b533793a,5659,5659
ENCFF802VTG,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR502YME,HepG2,GLI4-human,199824,1a37812863756dc31f33d9a5135b8552,10444,10444
ENCFF076ESL,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR697WMX,HepG2,HIVEP1-human,320529,719f4f3afa39ffc53d8cb662c9c793b4,17670,17670
ENCFF456EDK,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR539PMH,HepG2,CENPBD1-human,54131,eb971a8abacb92c6c55f35966038cd4f,2722,2722
ENCFF407WPM,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR923MOO,HepG2,MEF2D-human,410488,e0bb1d24b603eda40fb738e24cb289c2,22929,22929
ENCFF603PUS,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR026GSW,HepG2,EGR1-human,755959,1261e092cb12501c67b32b170aebbb49,40974,40974
ENCFF761DOS,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR382XLA,HepG2,ZFP36-human,70447,00b812f5557b21f84c53d59251026ad1,3982,3982
ENCFF050QMU,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BLV,HepG2,SRF-human,120625,f7887c030ccc5d540e3b4626234c018d,7164,7164
ENCFF612MQA,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR024ZIS,HepG2,ZNF260-human,29791,02b4022156b54f8f9a5532bb171e13f7,1497,1497
ENCFF482BEV,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR887TWV,HepG2,ATF5-human,109747,d9a7a521a02ddf2564b3bd32c9cb4268,5714,5714
ENCFF022QCK,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR127XTZ,HepG2,HNF1B-human,613007,b880c1946edfa7d546ab19b036ac8b04,33562,33562
ENCFF408CTC,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR196FSX,HepG2,ZFP82-human,227484,c7b4d4363777cf8cbc8c17fec5ed39d9,11792,11792
ENCFF620YHG,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR913ODG,HepG2,MTF2-human,199067,c33704e20c1cfb3a6780d76a1f864604,10479,10479
ENCFF815JML,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR591MYB,HepG2,ZNF746-human,273231,900a8e48bf2d9293a202c049aa82e222,15133,15133
ENCFF371LUB,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR210HBN,HepG2,IKZF5-human,526501,751e3f345bcc37e7f6efd4ad2edb0226,31010,31010
ENCFF049BWK,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR717ZZW,HepG2,E2F1-human,217591,799e25e72f5a434dd6455b447dd82b1d,11829,11829
ENCFF906WDG,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR029ARE,HepG2,ZNF773-human,126825,eaa5d4a64cad7953cbda939cc275b558,6696,6696
ENCFF191NVV,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR681WHQ,HepG2,ETS1-human,169035,eb09ae65b513514aaacfd43ef635af5a,9310,9310
ENCFF938PFW,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR291MJH,HepG2,MEF2A-human,155687,3469cef91c5e89dec1bdb92244af3c70,8648,8648
ENCFF190LEQ,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR479WQX,HepG2,GZF1-human,185390,c88bcad60226f2aa599d1db0c5f284b6,9784,9784
ENCFF435AEQ,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR647CXR,HepG2,NKX3-1-human,246875,ca32cc0f668840527c5b7797cf9a75b8,13146,13146
ENCFF258MNE,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR386UBO,HepG2,ARID4A-human,795951,dfb7ac653ef128775c34cae5fd1c230c,44802,44802
ENCFF503IOR,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR661IKO,HepG2,TRAFD1-human,105640,e80f9876299bff23d0e57901a65a028a,5503,5503
ENCFF135JMT,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR730TBC,HepG2,MNT-human,199611,08ef244088a043be4b564720e5fa1ff6,10686,10686
ENCFF894XVP,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR170DNV,HepG2,PHB2-human,16737,5d506d12e1de21b8eec47970c4316a3c,830,830
ENCFF373SRR,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR558OMR,HepG2,TFDP1-human,395574,19e8480e139411ae3907c186a15dfc10,23306,23306
ENCFF362KPX,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR337NWW,HepG2,HDAC2-human,82658,7232131da428fd675d636ce52ae64e5e,4615,4615
ENCFF387PJU,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR081WLS,HepG2,RAD51-human,121508,d2337c75c9cfee2c3920ad9ad0f8901a,6692,6692
ENCFF060REJ,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR108TYQ,HepG2,GATAD1-human,432981,e97bb871d2ba6407302681240e82b5cb,25184,25184
ENCFF483YIX,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR362NWP,HepG2,ZNF24-human,119038,1d522d1399e5e793bd64f7c3c903add9,6415,6415
ENCFF835WKW,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR165YVX,HepG2,MXD1-human,326669,5e13af370c672cab11ba17246c9c54a4,18126,18126
ENCFF827VMW,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR025EXJ,HepG2,IRF5-human,205397,cee71003f73125484a6162b6062be23a,11112,11112
ENCFF189UXQ,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR659SCK,HepG2,TOE1-human,63329,234a669085679080314d2feefd9d2b40,3343,3343
ENCFF605ULY,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR487LUQ,HepG2,PHF8-human,107762,82b642e32b0f7d72dd427b598be90463,5973,5973
ENCFF779CUH,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR757HBB,HepG2,SFPQ-human,391015,02763ccaf72da27677f86996f5c02786,21208,21208
ENCFF080TIX,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR144NTH,HepG2,RBAK-human,96984,500f7f97f29ca07060e5080d7543013c,5552,5552
ENCFF034ASW,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR432QMW,HepG2,ZNF335-human,276998,cae7600e7d4ef6b74fb4e867c6bcb9a3,15233,15233
ENCFF290UUF,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR891KNP,HepG2,ZNF30-human,101097,47c5bcbda4819669ced71b85cd0a7309,5219,5219
ENCFF595TJC,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR227MRE,HepG2,KDM5B-human,500484,04ee717ab9b70680ce8c47f27018206f,28624,28624
ENCFF622GUA,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR606LDL,HepG2,DNMT1-human,163332,1630967ff14a06d35464e9d239d4f299,8863,8863
ENCFF481VPQ,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR647BZJ,HepG2,YEATS2-human,364960,638176157ddee7056b6324619a37162b,21197,21197
ENCFF413PEE,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR950NAZ,HepG2,LCORL-human,156137,c6a90dc74a6450340a37cb2687f9a81d,8738,8738
ENCFF373KUZ,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR519QYU,HepG2,ZNF101-human,75209,1fe7b5593b57ee8ed903a25eeb4f9db4,3933,3933
ENCFF398TIE,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR993LMB,HepG2,TGIF2-human,363723,ad078f86ae96544167b8d0a27d0db7bf,20089,20089
ENCFF630HYZ,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR071YVR,HepG2,KMT2B-human,395443,17e9a4c960c0ffeef4d78e91203ca139,22035,22035
ENCFF341OLL,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR700PNE,HepG2,MAZ-human,503695,24366c8f6288cda42abfc1a636b97ffa,27513,27513
ENCFF154VTV,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR590CNM,HepG2,GATA4-human,232905,6cebe45aa878554fb7a6be865c051c0e,13561,13561
ENCFF485SII,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR854JES,HepG2,POLR2G-human,793914,e62815bac0a66771fba628644bf3ff59,44206,44206
