HDAC1,ZFX
HDAC1,SAP30
HDAC2,IKZF1
HDAC2,KDM1A
HDAC2,NCOR1
HDAC2,RCOR1
HDAC2,RNF2
HDAC2,SMARCA4
HDAC2,SMARCE1
HDAC2,SOX6
HDAC2,TAL1
HDAC2,TCF12
HDAC2,TCF3
HDAC2,TEAD4
HDAC2,TRIM24
HDAC2,ZNF281
IKZF1,NCOR1
IKZF1,RNF2
IKZF1,SMARCA4
IKZF1,SMARCE1
IKZF1,SOX6
JUN,JUND
JUN,JUNB
JUND,RCOR1
JUND,RNF2
JUND,SMARCA4
JUND,SMARCE1
JUND,SOX6
JUND,TEAD4
JUND,ZNF281
JUND,MAX
JUND,MAZ
JUND,MYC
KDM1A,NCOR1
KDM1A,RCOR1
KDM1A,SMARCA4
KDM5B,PHF8
KDM5B,POLR2B
KDM5B,POLR2G
KDM5B,RBBP5
KDM5B,RBFOX2
KDM5B,SMAD5
KDM5B,SUPT5H
KDM5B,TAF1
KDM5B,TBP
KDM5B,ZFX
L3MBTL2,MAX
L3MBTL2,MAZ
L3MBTL2,MGA
L3MBTL2,MNT
L3MBTL2,MTA3
L3MBTL2,MYC
L3MBTL2,NR2C2
L3MBTL2,NRF1
L3MBTL2,POLR2G
L3MBTL2,RBFOX2
L3MBTL2,RNF2
L3MBTL2,SMARCA4
L3MBTL2,TFAP4
L3MBTL2,VEZF1
L3MBTL2,ZFX
L3MBTL2,ZNF592
MAFF,MAFG
MAFF,MAFK
MAFF,ZNF316
MAFG,MAFK
MAFG,NFE2
MAFG,ZNF316
MAFK,NFE2
MAFK,ZNF316
MAX,MAZ
MAX,MGA
MAX,MNT
MAX,MTA3
MAX,MYC
MAX,NR2C2
MAX,NRF1
MAX,PHF8
MAX,POLR2G
MAX,RBFOX2
MAX,RCOR1
MAX,RNF2
MAX,TFAP4
MAX,VEZF1
MAX,ZFX
MAX,TFDP1
MAX,YY1
MAX,ZNF592
MAZ,MTA3
MAZ,MYC
MAZ,NR2C2
MAZ,NRF1
MAZ,PHF8
MAZ,POLR2G
MAZ,RB1
MAZ,RBFOX2
MAZ,RCOR1
MAZ,TFAP4
MAZ,VEZF1
MAZ,ZFX
MAZ,REST
MAZ,RNF2
MAZ,ZBTB7A
MEIS2,PKNOX1
MGA,MNT
MGA,MYC
MGA,RNF2
MGA,TFDP1
MGA,ZNF592
MITF,RAD51
MITF,TFE3
MITF,USF1
MITF,USF2
MNT,MYC
MNT,NRF1
MNT,PHF8
MNT,POLR2G
MNT,RBFOX2
MNT,TFAP4
MNT,ZFX
MTA2,STAT5A
MTA2,TAL1
MTA2,TCF12
MTA3,MYC
MTA3,NRF1
MTA3,POLR2G
MTA3,RBFOX2
MTA3,SMARCA4
MTA3,TFAP4
MTA3,VEZF1
MTA3,ZFX
MYC,NR2C2
MYC,NRF1
MYC,PHF8
MYC,POLR2G
MYC,RBFOX2
MYC,RCOR1
MYC,RNF2
MYC,TFAP4
MYC,VEZF1
MYC,ZFX
NCOR1,NFIC
NCOR1,RCOR1
NCOR1,SMARCA4
NCOR1,SMARCE1
NCOR1,SOX6
NCOR1,TAL1
NCOR1,TCF12
NCOR1,TCF3
NCOR1,TEAD4
NCOR1,TRIM24
NCOR1,ZNF281
NFYA,NFYB
NR2C1,NR2C2
NR2C1,NR2F1
NR2C1,NR2F6
NR2C2,NR2F1
NR2C2,RBFOX2
NR2C2,RNF2
NR2C2,TFAP4
NR2C2,VEZF1
NR2C2,ZFX
NR2C2,ZNF592
NR2F1,NR2F2
NR2F1,NR2F6
NR2F2,NR2F6
NR2F2,TAL1
NR2F2,TCF12
NRF1,PHF8
NRF1,POLR2G
NRF1,RB1
