,TF1,TF2
606,POLR2G,TBP
607,POLR2G,TFAP4
608,POLR2G,VEZF1
609,POLR2G,YY1
610,POLR2G,ZBTB7A
611,POLR2G,ZFX
616,RAD21,STAG1
617,RAD21,ZNF143
620,RB1,RBBP5
621,RB1,RBFOX2
622,RB1,SP1
623,RB1,TFAP4
624,RB1,YY1
625,RB1,ZBTB7A
626,RB1,ZFX
627,RBBP5,RBFOX2
628,RBBP5,SUPT5H
629,RBBP5,TAF1
630,RBBP5,TBP
631,RBBP5,ZBTB7A
632,RBBP5,ZFX
633,RBFOX2,RNF2
636,RBFOX2,TAF1
637,RBFOX2,TBP
638,RBFOX2,TFAP4
639,RBFOX2,VEZF1
640,RBFOX2,YY1
641,RBFOX2,ZBTB7A
642,RBFOX2,ZFX
644,RCOR1,RNF2
645,RCOR1,SMARCA4
646,RCOR1,SMARCE1
647,RCOR1,SOX6
648,RCOR1,TCF3
649,RCOR1,TEAD4
650,RCOR1,ZNF281
652,REST,ZNF143
653,RNF2,SMARCA4
655,RNF2,SOX6
656,RNF2,TCF3
657,RNF2,TEAD4
658,RNF2,TFAP4
659,RNF2,VEZF1
660,RNF2,ZNF281
661,RNF2,ZNF592
663,SMAD5,TAF1
664,SMAD5,TBP
665,SMAD5,ZFX
667,SMARCA4,SOX6
668,SMARCA4,TAL1
669,SMARCA4,TCF12
670,SMARCA4,TCF3
671,SMARCA4,TEAD4
672,SMARCA4,TRIM24
673,SMARCA4,ZNF281
674,SMARCA4,ZNF592
675,SMARCE1,SOX6
676,SMARCE1,TAL1
677,SMARCE1,TCF12
678,SMARCE1,TCF3
679,SMARCE1,TEAD4
680,SMARCE1,TRIM24
681,SMARCE1,ZNF281
682,SMC3,STAG1
683,SMC3,ZNF143
684,SOX6,TAL1
685,SOX6,TCF3
686,SOX6,TEAD4
687,SOX6,TRIM24
688,SOX6,ZNF281
689,SP1,ZFX
690,STAT5A,TCF12
691,SUPT5H,TAF1
692,SUPT5H,TBP
693,SUPT5H,YY1
694,SUPT5H,ZFX
695,TAF1,TBP
696,TAF1,YY1
697,TAF1,ZFX
